Codigo,Descricao
5131,PIECE GOODS, NOTIONS, AND OTHER DRY GOODS
5137,MEN’S WOMEN’S AND CHILDREN’S UNIFORMS AND COMMERCIAL CLOTHING
5139,COMMERCIAL FOOTWEAR
5169,CHEMICALS AND ALLIED PRODUCTS, NOT ELSEWHERE CLASSIFIED
5172,PRODUTOS DE PETRÓLEO (PETROLEUM/PETROLEUM PRODUCTS)
5192,ATAC. E DISTRIB. DE LIVROS, PERIÓDICOS E JORNAIS
5193,FLORISTS’ SUPPLIES, NURSERY STOCK AND FLOWERS
5198,PINTURA, POLIMENTO E SUPRIM. (PAN., VARN. & SUPPLIES)
5199,NON-DURABLE GOODS, NOT ELSEWHERE CLASSIFIED
5200,HOME SUPPLY WAREHOUSE STORES
5211,LUMBER AND BUILDING MATERIALS STORES
5231,GLASS STORES
5251,VENDA DE EQUIPAMENTOS, INCLUINDO DE FERRAGEM
5261,JARDINAGEM
5271,MOBILE HOME DEALERS
5300,VENDA POR ATACADO (WHOLESALE CLUBS)
5309,DUTY FREE STORES
5310,DISCOUNT STORES
5331,VARIETY STORES
5399,LOJA MERCADORIAS GERAIS
5411,MERCEARIAS/SUPERMERCADOS (GROCERY STORES/SUPERM.)
5422,AÇOGUEIRO (FREEZER/MEAT LOCKERS)
5441,LOJA DE DOCES
5451,LOJA DE PRODUTOS DE LACTICÍNIOS (DAIRY PROD. STORES)
5462,CONFEITERIAS (BAKERIES)
5499,LOJA DE ALIMENTOS VARIADOS (MISC FOOD S. - DEFAULT)
5511,CAR AND TRUCK DEALERS (NEW AND USED) SALES, SERVICE, REPAIRS, PARTS, AND LEASING
5521,AUTOMOBILE AND TRUCK DEALERS (USED ONLY)
5531,AUTOMOBILE SUPPLY STORES
5532,LOJA DE PNEUS
5541,ESTAÇÕES DE SERVIÇOS (SERVICE STATIONS)
5542,AUTO DIST. DE COMBUSTÍVEIS (AUTOM. FUEL DISPENSERS)
5551,VENDA DE BARCOS MOTORIZADOS
5561,ARTIGOS PARA ACAMPAMENTO
5571,LOJAS DE MOTOCICLETAS E ACESSÓRIOS
5592,MOTOR HOME DEALERS
5598,SNOWMOBILE DEALERS
5599,SERVIÇOS GERIAS PARA CARROS
5611,ARTIGOS MASCULINOS
5621,LOJA DE ROUPAS FEMININAS "PRONTA PARA USAR"
5631,ACESSORIOS FEMININOS E LINGERIES
5641,ARTIGOS PARA CRIANÇAS E BEBÊS
5651,ROUPAS MASCULINAS, FEMININAS E INFANTIS
5655,ROUPA ESPORTIVA
5661,LOJAS DE SAPATOS
5681,LOJA DE PELES
5691,OJA ROUPA UNISSEX
5697,COSTUREIRAS E ALFAIATES
5698,WIG AND TOUPEE STORES
5699,SERVIÇOS GERIAS PARA VESTIMENTA
5712,LOJA DE MÓVEIS
5713,FLOOR COVERING STORES
5714,LOJA DE ESTOFADOS (DRAPERY & UPHOLSTERY STORES)
5718,LAREIRAS E ACESSÓRIOS (FIREPLACES & ACCESSORIES)
5722,LOJAS DE ELETRODOMÉSTICOS
5732,LOJA DE ELETRÔNICOS
5733,LOJA INSTRUMENTO MUSICAIS
5734,LOJA DE SOFTWARE
5735,LOJAS DE DISCOS
5813,BARES, PUBS E CASA NOTURNAS
5814,LANCHONETES DE COMIDAS RÁPIDAS (FAST FOOD)
5832,ANTIQUE SHOPS – SALES, REPAIRS, AND RESTORATION SERVICES
5921,CERVEJAS, VINHOS E LICORES (STORE/BEER/WINE/LIQUOR)
5931,USED MERCHANDISE AND SECONDHAND STORES
5932,LOJA DE ANTIGUIDADES (ANTIQUE SHOPS)
5933,PAWN SHOPS AND SALVAGE YARDS
5935,WRECKING AND SALVAGE YARDS
5937,L. DE REPRODUÇÃO DE ANTIQUIDADES (ANT.REPROD. STORES)
5940,LOJA DE BICICLETAS - VENDAS E SERVIÇOS
5941,SERVIÇOS GERIAS PARA ESPORTES
5942,LIVRARIAS
5943,PAPELARIAS
5944,JOALHERIA (JEWERLY STORE)
5945,LOJA DE BRINQUEDOS
5946,LOJA DE FOTOGRAFIA
5947,LOJA DE PRESENTES
5948,ARTIGOS DE COURO
5949,SEWING, NEEDLE, FABRIC, AND PRICE GOODS STORES
5950,LOJA DE COPOS/CRISTAIS (GLASSWARE/CRYSTAL STORES)
5960,MARK.DIRETO DE SEGUROS (DIR. MARKET. INSURANCE SVC)
5961,MAIL ORDER HOUSES INCLUDING CATALOG ORDER STORES, BOOK/RECORD CLUBS (NO LONGER PERMITTED FOR U.S. ORIGINAL PRESENTMENTS)
5962,SERV. DIRETOS DE VIAGENS (D. MKTG-TRAV. RELATED ARR)
5963,VENDA DIRETA (DIRECT SELL/DOOR-TO-DOOR)
5964,CATALOGO DE COMERCIOS (CATALOG MERCHANT)
5965,CATÁLOGO DE VAREJO (COMB.CATALOG & RETAIL)
5966,MARKETING DIRETO-SAÍDA (OUTB. TELEMARKETING M.)
5967,MARKETING DIRETO - ENTRADA (INB. TELEMARKETING M.)
5968,ASSINATURA COMERCIAL (CONTINUITY/SUBSCRIP. MERCHANT)
5969,OUTROS VENDEDORES DE MARKETING DIRETO
5970,PRODUTOS ARTESANAIS
5971,GALERIA DE ARTE (ART DEALERS & GALLERIES)
5972,STAMP AND COIN STORES – PHILATELIC AND NUMISMATIC SUPPLIES
5973,RELIGIOUS GOODS STORES
5975,HEARING AIDS – SALES, SERVICE, AND SUPPLY STORES
5976,BENS ORTOPÉDICOS - PRÓTESES
5977,LOJA DE COSMÉTICOS
5978,TYPEWRITER STORES – SALES, RENTAL, SERVICE
5983,REVENDEDORES DE COMBUSTÍVEIS (FUEL DEALERS)
5992,FLORICULTURA
5993,TABACARIA
5994,BANCA DE JORNAL E PROVEDOR DE NOTÍCIAS
5996,SWIMMING POOLS – SALES, SERVICE, AND SUPPLIES
5997,ELECTRIC RAZOR STORES – SALES AND SERVICE
5998,TENT AND AWNING SHOPS
5999,LOJAS ESPECIALIZADAS NÃO LISTADAS ANTERIOMENTE
6010,BANCOS / LOJAS DE POUPANÇA E INST. FINANCEIRA
6011,FINANCIAL INSTITUTIONS – MANUAL CASH DISBURSEMENTS
6051,NON-FINANCIAL INSTITUTIONS – FOREIGN CURRENCY, MONEY ORDERS (NOT WIRE TRANSFER) AND TRAVELERS CHEQUES
6211,CORRETORES DE IMÓVEIS (SECURITIES BROKERS/DEALERS)
6300,VENDA DE SEGUROS (INSURANCE SALES/UNDERWRITE)
6381,INSURANCE PREMIUMS, (NO LONGER VALID FOR FIRST PRESENTMENT WORK)
6399,INSURANCE, NOT ELSEWHERE CLASSIFIED ( NO LONGER VALID FOR FIRST PRESENTMENT WORK)
6513,CORRETOR DE IMÓVEIS (ALUGUEL)
7011,HOTEIS (HOTELS/MOTELS/RESORTS)
7012,TEMPO COMPARTILHADO (TIMESHARE)
7032,ACAMPAMENTOS RECREATIVOS E DEPORTIVOS
7033,SERVIÇOS DE ACAMPAMENTOS
7210,LAVANDARIA, LIMPEZA E SERVIÇOS DE VESTUÁRIO
7211,LAVANDERIA - FAMILIAR E COMERCIAL
7216,LAVANDERIA TINTURARIA
7217,LIMPEZA DE TAPETES E ESTOFADOS
7221,PHOTOGRAPHIC STUDIOS
7230,SALAO DE BELEZA / BARBEARIA / DEPILAÇÃO / MANICURE
7251,LOJA/REPARO DE SAPATOS
7261,SERVIÇO FUNERÁRIO
7273,SERVIÇO DE ENCONTROS E ACOMPANHANTE
7276,SERVIÇOS DE PREP. IMPOST. DE RENDA (TAX PREP. SVCS)
7277,S. DE ACONSELHAMENTO DE DÍVIDAS, CASAMENTO E PESSOAL
7296,CLOTHING RENTAL – COSTUMES, FORMAL WEAR, UNIFORMS
7297,CENTRO DE SAUNAS E MASSAGENS
7298,CLÍNICAS DE ESTÉTICA FACIAL / CORPORAL
7299,OUTROS SERVIÇOS PESSOAIS
7311,PUBLICIDADES
7321,CONSUMER CREDIT REPORTING AGENCIES
7332,BLUEPRINTING AND PHOTOCOPYING SERVICES
7333,SERVIÇOS DE IMPRESSÃO E ARTE GRÁFICA
7338,QUICK COPY, REPRODUCTION AND BLUEPRINTING SERVICES
7339,STENOGRAPHIC AND SECRETARIAL SUPPORT SERVICES
7342,DISINFECTING SERVICES
7343,SERVIÇO DE EXTERMINIO E DESINFETAÇÃO
7349,SERVIÇO LIMPEZA E MANUTENÇÃO
7361,AGÊNCIAS DE EMPREGO
7375,INFORMATION RETRIEVAL SERVICES
7379,COMPUTADORES: CONCERTOS E REPAROS
7392,MANAGEMENT, CONSULTING, AND PUBLIC RELATIONS SERVICES
7393,AGÊNCIAS DE DETETIVES, PROTECÇÃO E DE SEGURANÇA
7394,EQUIPMENT RENTAL AND LEASING SERVICES, TOOL RENTAL, FURNITURE RENTAL, AND APPLIANCE RENTAL
7395,PHOTOFINISHING LABORATORIES, PHOTO DEVELOPING
7399,SERVIÇOS DE NEGÓCIOS
7511,PARADA DE CAMINHÕES (TRUCK STOP)
7512,ALUGUEL DE AUTOMÓVEIS (AUTOMOBILE RENTAL AGENCY)
7513,ALUGUEL DE CAMINHÕES (TRUCK/UTILITY TRAILER RENTALS)
7519,ALUGUEL DE MOTOR HOME (MOTOR HOME/RV RENTALS)
7523,ESTACIONAMNTOS E GARAGENS DE CARRO
7531,AUTOMOTIVE BODY REPAIR SHOPS
7534,TIRE RE-TREADING AND REPAIR SHOPS
7535,PAINT SHOPS – AUTOMOTIVE
7538,SERVIÇOS PARA CARROS (NÃO CONCESIONARIA)
7542,LAVA JATO
7549,TOWING SERVICES
7622,CONSERTO DE EQUIP. AUDIO E TV
7623,CONSERTO DE AR CONDICIONADO
7629,CONSERTO DE ELETRONICOS
7631,CONSERTO DE RELÓGIOS E JÓIAS
7641,RESTAURAÇÃO DE MÓVEIS (FURNITURE REPAIR)
7692,WELDING REPAIR
7699,LOJA DE CONSERTOS GERAIS E SERVIÇOS RELACIONADOS
7829,MOTION PICTURES AND VIDEO TAPE PRODUCTION AND DISTRIBUTION
7832,CINEMAS, PRODUÇÕES CINEMATOGRÁFICAS
7841,LOJAS DE VIDEOS
7911,DANCE HALLS, STUDIOS AND SCHOOLS
7929,BANDS, ORCHESTRAS, AND MISCELLANEOUS ENTERTAINERS (NOT ELSEWHERE CLASSIFIED)
7932,BILLIARD AND POOL ESTABLISHMENTS
7933,BOWLING ALLEYS
7941,COMMERCIAL SPORTS, ATHLETIC FIELDS, PROFESSIONAL SPORT CLUBS, AND SPORT PROMOTERS
7991,TOURIST ATTRACTIONS AND EXHIBITS
7992,GOLF COURSES – PUBLIC
7993,VIDEO AMUSEMENT GAME SUPPLIES
7994,VIDEO GAME ARCADES/ESTABLISHMENTS
7995,CASSINOS, LOTERIAS E JOGOS DE AZAR
7996,PARQUE DE DIVERSAO, CIRCO E AFINS
7997,ACADEMIAS / CLUBES
7998,AQUÁRIOS E ZOOLÓGICOS
7999,SERVIÇOS DE RECREAÇÃO E FESTAS
8011,MÉDICOS (CLÍNICAS E CONSULTÓRIOS)
8021,DENTISTAS E ORTODONTISTAS (CLÍNICAS E CONSULTÓRIOS)
8031,OSTEOPATAS
8041,QUIROPRAXIA
8042,OFTAMOLOGISTA E OPTOMETRISTAS
8043,OPTICIANS, OPTICAL GOODS, AND EYEGLASSES
8044,OPTICIANS, OPTICAL GOODS, AND EYEGLASSES (NO LONGER VALID FOR FIRST PRESENTMENTS)
8049,TRATAMENTOS PODIÁTRICOS
8050,CASAS DE REPOUSO, CLÍN. DE RECUPERAÇÃO E ENFERMAGEM
8062,HOSPITAIS
8071,ANALISES CLÍNICAS MÉDICAS E DENTAIS
8111,SERVIÇOS JURÍDICOS - ADVOGADOS
8211,EDUCAÇÃO PRIMÁRIA E SECUNDÁRIA (ELEM./SEC.S.)
8220,UNIVERSIDADES E FACULDADES (COLLEGES/UNIV/JC/PROF.)
8241,EDUACAÇÃO A DISTÂNCIA (CORRESPONDENCE SCHOOLS)
8244,ESCOLA DE COMÉRCIOS E SECRETARIADO (BUS./SEC. SCHOOL)
8249,ESCOLA DE NEGÓCIOS/VOCAÇÕES (TRADE/VOCATIONS S.)
8351,SERVIÇOS DE CUIDADOS DE CRIANÇAS (CHILD CARE SVCS)
8398,ORGANIZAÇÕES DE SERVIÇOS BENEFICIENTES E SOCIAIS
8641,ASSOCIAÇÕES CÍVICAS E SOCIAIS
8651,POLITICAL ORGANIZATIONS
8661,ORGANIZAÇÕES RELIGIOSAS
8675,ASSOCIAÇÃO DE CARROS
8699,ORG. SIND., ASSOC. CULT. E OTRS ASSOC. NÃO CLASSIF.
8734,TESTING LABORATORIES ( NON-MEDICAL)
8911,ARQUIRETURA, ENGENHARIA E AGRIMENSURA
9211,PENSÃO ALIMENTÍCIA (COURT COSTS/ALIMONY/SUPPORT)
9222,MULTAS (FINES)
9223,PAGAMENTOS DE TÍTULOS E FINANÇAS (BAIL AND BOND P.)
9311,PAGAMENTOS DE IMPOSTOS (TAX PAYMENTS)
9399,SERVIÇOS GOVERNAMENTAIS (GOVT SERV - DEFAULT)
9402,POSTAGENS (POSTAGE STAMPS)
9405,COMPRAS GOVERNAMENTAIS (INTRA-GOVERNMENT PURCHASES)
9700,AUTOMATED REFERRAL SERVICE ( FOR VISA ONLY)
9701,VISA CREDENTIAL SERVICE ( FOR VISA ONLY)
9702,GCAS EMERGENCY SERVICES ( FOR VISA ONLY)
9950,DEPART. DE COMPRAS (INTRA- COMPANY PURCHASES)890yg
